millis,abs_rotations,roll
75092,0,-0.04
75192,0,-0.04
75292,0,-0.04
75392,0,-0.03
75492,0,0.00
75592,0,-0.00
75692,0,-0.01
75792,0,-0.01
75892,0,-0.03
75992,0,-0.03
5593,0,0.23
5693,0,0.22
5793,0,0.19
5893,0,0.17
5993,0,0.14
6093,0,0.13
6193,0,0.12
6293,0,0.11
6393,0,0.09
6493,0,0.08
6593,0,0.07
6693,0,0.06
6793,0,0.06
6893,0,0.06
6993,0,0.06
7093,0,0.05
7193,0,0.05
7293,0,0.04
7393,0,0.04
7493,1,0.01
7593,2,-0.01
7693,3,-0.05
7793,4,-0.06
7893,5,-0.10
7993,6,-0.09
8093,7,-0.11
8193,7,-0.10
8293,8,-0.13
8393,9,-0.14
8493,10,-0.16
8593,11,-0.16
8693,11,-0.20
8793,12,-0.21
8893,13,-0.22
8993,13,-0.24
9093,14,-0.26
9193,14,-0.26
9293,15,-0.26
9393,15,-0.26
9493,16,-0.25
9593,16,-0.24
9693,17,-0.24
9793,17,-0.17
9893,18,-0.08
9993,18,-0.00
10093,18,0.26
10193,19,0.70
10293,19,1.09
10393,19,1.24
10493,20,1.50
10593,20,1.77
10693,21,1.90
10793,22,2.17
10893,22,2.31
10993,23,2.54
11093,24,2.69
11193,24,2.88
11293,25,3.03
11393,26,3.22
11493,26,3.38
11593,27,3.55
11693,28,3.71
11793,28,3.83
11893,29,3.98
11993,30,4.11
12093,31,4.24
12193,31,4.36
12293,32,4.48
12393,33,4.59
12493,34,4.73
12593,35,4.87
12693,35,4.97
12793,36,5.08
12893,37,5.18
12993,38,5.30
13093,38,5.41
13193,39,5.52
13293,40,5.59
13393,41,5.70
13493,42,5.80
13593,42,5.88
13693,43,5.96
13793,44,6.07
13893,45,6.18
13993,45,6.28
14093,45,6.39
14193,46,6.50
14293,47,6.62
14393,48,6.70
14493,49,6.77
14593,50,6.86
14693,50,6.95
14793,51,7.11
14893,52,7.27
14993,53,7.38
15093,54,7.49
15193,55,7.61
15293,56,7.73
15393,56,7.82
15493,57,7.90
15593,58,7.98
15693,59,8.06
15793,60,8.15
15893,61,8.22
15993,62,8.31
16093,62,8.38
16193,63,8.44
16293,64,8.51
16393,65,8.61
16493,66,8.68
16593,67,8.77
16693,68,8.82
16793,69,8.89
16893,69,8.96
16993,70,9.06
17093,71,9.12
17193,72,9.21
17293,73,9.30
17393,74,9.38
17493,75,9.45
17593,75,9.53
17693,75,9.62
17793,76,9.69
17893,77,9.77
17993,78,9.81
18093,79,9.87
18193,80,9.94
18293,81,10.00
18393,82,10.06
18493,83,10.11
18593,84,10.20
18693,85,10.29
18793,85,10.37
18893,86,10.47
18993,87,10.54
19093,88,10.61
19193,89,10.71
19293,90,10.79
19393,91,10.85
19493,92,10.90
19593,93,10.96
19693,94,11.04
19793,95,11.13
19893,96,11.17
19993,96,11.24
20093,97,11.32
20193,98,11.37
20293,99,11.44
20393,99,11.52
20493,100,11.61
20593,101,11.67
20693,102,11.73
20793,103,11.80
20893,103,11.89
20993,104,11.94
21093,105,11.99
21193,106,12.05
21293,107,12.14
21393,108,12.22
21493,109,12.30
21593,110,12.38
21693,111,12.45
21793,112,12.52
21893,113,12.63
21993,114,12.67
22093,115,12.73
22193,116,12.79
22293,117,12.85
22393,118,12.89
22493,119,12.96
22593,119,13.01
22693,120,13.04
22793,121,13.09
22893,122,13.15
22993,123,13.22
23093,124,13.26
23193,125,13.31
23293,126,13.33
23393,127,13.40
23493,128,13.47
23593,129,13.52
23693,130,13.59
23793,130,13.67
23893,131,13.73
23993,132,13.80
24093,133,13.86
24193,134,13.93
24293,135,13.98
24393,136,14.05
24493,137,14.10
24593,138,14.16
24693,139,14.23
24793,140,14.30
24893,141,14.39
24993,142,14.42
25093,143,14.47
25193,144,14.53
25293,145,14.59
25393,146,14.63
25493,147,14.66
25593,148,14.73
25693,149,14.76
25793,149,14.83
25893,150,14.89
25993,151,14.95
26093,152,15.00
26193,153,15.03
26293,154,15.11
26393,155,15.17
26493,156,15.25
26593,157,15.32
26693,158,15.39
26793,159,15.43
26893,160,15.50
26993,161,15.52
27093,162,15.56
27193,163,15.60
27293,164,15.64
27393,165,15.69
27493,166,15.75
27593,167,15.83
27693,168,15.90
27793,168,15.97
27893,169,16.04
27993,170,16.10
28093,171,16.14
28193,172,16.18
28293,173,16.21
28393,174,16.28
28493,175,16.35
28593,176,16.42
28693,177,16.45
28793,178,16.47
28893,179,16.52
28993,180,16.54
29093,181,16.60
29193,182,16.66
29293,183,16.73
29393,184,16.76
29493,185,16.82
29593,186,16.87
29693,187,16.93
29793,188,16.97
29893,189,17.03
29993,190,17.10
30093,191,17.13
30193,192,17.16
30293,192,17.22
30393,193,17.29
30493,194,17.35
30593,195,17.38
30693,196,17.40
30793,197,17.45
30893,198,17.50
30993,199,17.58
31093,200,17.66
31193,201,17.70
31293,202,17.76
31393,203,17.81
31493,204,17.86
31593,205,17.90
31693,206,17.98
31793,207,18.07
31893,208,18.10
31993,209,18.10
32093,210,18.16
32193,211,18.21
32293,212,18.25
32393,213,18.33
32493,214,18.42
32593,215,18.50
32693,216,18.50
